item_code,asset_code,old_code,serial_code,model,brand,entry_date,assignment_date,condition,availability_status,notes
EQ-0154,27738054,241498,SIN SERIE 241498,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738055,241499,SIN SERIE 241499,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738056,241500,SIN SERIE 241500,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738057,241501,SIN SERIE 241501,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738058,241502,SIN SERIE 241502,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738059,241503,SIN SERIE 241503,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738060,241504,SIN SERIE 241504,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738061,241505,SIN SERIE 241505,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738062,241506,SIN SERIE 241506,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738063,241507,SIN SERIE 241507,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738064,241508,SIN SERIE 241508,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738065,241509,SIN SERIE 241509,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738066,241510,SIN SERIE 241510,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738067,241511,SIN SERIE 241511,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738068,241512,SIN SERIE 241512,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738069,241513,SIN SERIE 241513,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738070,241514,SIN SERIE 241514,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738071,241515,SIN SERIE 241515,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738072,241516,SIN SERIE 241516,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738073,241517,SIN SERIE 241517,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738074,241518,SIN SERIE 241518,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738075,241519,SIN SERIE 241519,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738076,241520,SIN SERIE 241520,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738077,241521,SIN SERIE 241521,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738078,241522,SIN SERIE 241522,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738079,241523,SIN SERIE 241523,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738080,241524,SIN SERIE 241524,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738081,241525,SIN SERIE 241525,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738082,241526,SIN SERIE 241526,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738083,241527,SIN SERIE 241527,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738084,241528,SIN SERIE 241528,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738085,241529,SIN SERIE 241529,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738086,241530,SIN SERIE 241530,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738087,241531,SIN SERIE 241531,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738088,241532,SIN SERIE 241532,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738089,241533,SIN SERIE 241533,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738090,241534,SIN SERIE 241534,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738091,241535,SIN SERIE 241535,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738092,241536,SIN SERIE 241536,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738093,241537,SIN SERIE 241537,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0154,27738094,241538,SIN SERIE 241538,S/M,S/M,2006-05-02,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0002,27738770,92218,SIN SERIE92218,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0023,27738771,92248,SIN SERIE92248,92248,92248,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0041,27738772,92268,SIN SERIE92268,S/M,EQUITECH TRAINING SYSTEMS LTD.,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0042,27738773,92269,SIN SERIE92269,S/M,T.E.I.,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0022,27738774,92289,SIN SERIE92289,S/M,ANGOL ELECTRIC,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0044,27738775,92290,SIN SERIE92290,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0043,27738776,92291,SIN SERIE92291,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0045,27738777,92292,SIN SERIE92292,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0047,27738778,92293,SIN SERIE92293,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0046,27738779,92294,SIN SERIE92294,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0038,27738781,92349,SIN SERIE92349,D21S3,BROWN BOVERI,1983-06-07,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0035,27738782,92350,SIN SERIE92350,ICM2A,BROWN BOVERI,1983-06-07,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0037,27738783,92351,SIN SERIE92351,ISM2,BROWN BOVERI,1983-06-07,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0036,27738784,92352,SIN SERIE92352,IM3X,BROWN BOVERI,1983-06-07,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0039,27738785,92353,SIN SERIE92353,PM2G0,BROWN BOVERI,1983-06-07,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0040,27738786,92354,SIN SERIE92354,S10H,HB,1983-06-07,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0048,27738787,92356,SIN SERIE92356,S/M,S/M,1983-06-07,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0021,27738790,92417,SIN SERIE92417,S/M,S/M,1991-01-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0004,27738793,92934,SIN SERIE92934,S/M,GOSSEN,1999-07-19,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27738830,98878,SIN SERIE98878,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27738831,98879,SIN SERIE98879,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0050,27738832,98880,SIN SERIE98880,S/M,GOSSEN,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0052,27738833,98881,SIN SERIE98881,S/M,GOSSEN,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0053,27738834,98882,SIN SERIE98882,S/M,GOSSEN,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0056,27738835,98884,SIN SERIE98884,S/M,NORMA,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0034,27738836,98888,SIN SERIE98888,S/M,WHESTSTONE THOMSON,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0006,27738837,98908,SIN SERIE98908,S/M,S/M,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0005,27738838,98909,SIN SERIE98909,S/M,S/M,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0013,27739240,102053,899400,GS 25,MES SWANDLER-BAU,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0014,27739241,102054,899401,GS 25,MES SWANDLER-BAU,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0010,27739242,102055,899393,GS 25,MES SWANDLER-BAU,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0011,27739243,102056,899394,GS 25,MES SWANDLER-BAU,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0012,27739244,102057,899396,GS 25,MES SWANDLER-BAU,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0007,27739245,102058,S.102058,CB,MWB,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0008,27739246,102059,S.102059,CB,MWB,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0009,27739247,102060,S.102060,CB,MWB,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0015,27739248,102061,913308,CM,MES SWANDLER-BAU,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0016,27739249,102062,913310,CM,MES SWANDLER-BAU,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0017,27739250,102063,913311,CM,MES SWANDLER-BAU,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0032,27739251,102098,S.102098,V,S/M,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0030,27739252,102101,S.102101,F,S/M,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0024,27739253,102105,859 929,NTZ,MES SWANDLER-BAU,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0025,27739254,102106,859 930,NTZ,MES SWANDLER-BAU,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0026,27739255,102107,859 931,NTZ,MES SWANDLER-BAU,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0027,27739256,102108,859 932,NTZ,MES SWANDLER-BAU,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0028,27739257,102109,859 933,NTZ,MES SWANDLER-BAU,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0031,27740331,443807,S-443807,F,S/M,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0031,27740332,443808,S-443808,F,S/M,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0031,27740333,443809,S-443809,F,S/M,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0031,27740334,443810,S-443810,F,S/M,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0031,27740335,443811,S-443811,F,S/M,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0031,27740336,443812,S-443812,F,S/M,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0033,27740337,443813,S-443813,V,S/M,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0033,27740338,443814,S-443814,V,S/M,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0033,27740339,443815,S-443815,V,S/M,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0033,27740340,443816,S-443816,V,S/M,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0033,27740341,443817,S-443817,V,S/M,1989-06-28,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0003,27740524,445878,S-445878,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0004,27740525,445879,S-445879,S/M,GOSSEN,1999-07-19,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0043,27740526,446379,S-446379,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0043,27740527,446380,S-446380,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0043,27740528,446381,S-446381,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0044,27740529,446382,S-446382,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0045,27740530,446383,S-446383,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0045,27740531,446384,S-446384,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0045,27740532,446385,S-446385,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0046,27740533,446386,S-446386,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0046,27740534,446387,S-446387,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0046,27740535,446388,S-446388,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0047,27740536,446389,S-446389,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0047,27740537,446390,S-446390,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0047,27740538,446391,S-446391,S/M,S/M,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0048,27740539,446392,S-446392,S/M,S/M,1983-06-07,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0048,27740540,446393,S-446393,S/M,TERCO,1983-06-07,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0049,27740541,446394,S-TB40,S/M,BELASTUNGSWIDERSTANAD,1982-02-15,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740719,451568,S-451568,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740720,451569,S-451569,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740721,451570,S-451570,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740722,451571,S-451571,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740723,451572,S-451572,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740724,451573,S-451573,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740725,451574,S-451574,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740726,451575,S-451575,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740727,451576,S-451576,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740728,451577,S-451577,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740729,451578,S-451578,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740730,451579,S-451579,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740731,451580,S-451580,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740732,451581,S-451581,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740733,451582,S-451582,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740734,451583,S-451583,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740735,451584,S-451584,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740736,451585,S-451585,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740737,451586,S-451586,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740738,451587,S-451587,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740739,451588,S-451588,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740740,451589,S-451589,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740741,451590,S-451590,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740742,451591,S-451591,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740743,451592,S-451592,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740744,451593,S-451593,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740745,451594,S-451594,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740746,451595,S-451595,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740747,451596,S-451596,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740748,451597,S-451597,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740749,451598,S-451598,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740750,451599,S-451599,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740751,451600,S-451600,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740752,451601,S-451601,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740753,451602,S-451602,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740754,451603,S-451603,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740755,451604,S-451604,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740756,451605,S-451605,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740757,451606,S-451606,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740758,451607,S-451607,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740759,451608,S-451608,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740760,451609,S-451609,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740761,451610,S-451610,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740762,451611,S-451611,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740763,451612,S-451612,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740764,451613,S-451613,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740765,451614,S-451614,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740766,451615,S-451615,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740767,451616,S-451616,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740768,451617,S-451617,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740769,451618,S-451618,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740770,451619,S-451619,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740771,451620,S-451620,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740772,451621,S-451621,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740773,451622,S-451622,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740774,451623,S-451623,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0001,27740775,451624,S-451624,S/M,PHYME,1983-05-24,2019-05-03,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
