item_code,name,stock_total,suggested_category,matched_old_item,matched_old_name,similarity,confidence,approved_category
EQ-0732,PROYECTOR MULTIMEDIA DE DISTANCIA ULTRA CORTA CON SOPORTE DE PARED MARCA OPTOMA MODELO W330UST SERIEQ7C6948WAAAAB0121,1,EQUIPO ELECTRONICO,EQ-0243,EQUIPO ELECTRONICO/FUENTE DE PODER/FUENTE DE PODER SIN MARCA SIN MODELO CON N DE SERIE 019667,0.336,baja,EQUIPO ELECTRONICO
EQ-0733,PROYECTOR MULTIMEDIA DE DISTANCIA ULTRA CORTA CON SOPORTE DE PARED MARCA OPTOMA MODELO W330UST SERIEQ7C6948WAAAAB0302,1,EQUIPO ELECTRONICO,EQ-0296,EQUIPO ELECTRONICO/TARJETAS/TARJETA DE ADQUISICION DE DATOS/TARJETA MARCA ALTERA DES SERIE S0297WF080300030202,0.338,baja,EQUIPO ELECTRONICO
EQ-0734,PROYECTOR MULTIMEDIA DE DISTANCIA ULTRA CORTA CON SOPORTE DE PARED MARCA OPTOMA MODELO W330UST SERIEQ7C6948WAAAAB0123,1,EQUIPO ELECTRONICO,EQ-0243,EQUIPO ELECTRONICO/FUENTE DE PODER/FUENTE DE PODER SIN MARCA SIN MODELO CON N DE SERIE 019667,0.336,baja,EQUIPO ELECTRONICO
EQ-0735,PROYECTOR MULTIMEDIA DE DISTANCIA ULTRA CORTA CON SOPORTE DE PARED MARCA OPTOMA MODELO W330UST SERIEQ7C6948WAAAAB0022,1,EQUIPO ELECTRONICO,EQ-0296,EQUIPO ELECTRONICO/TARJETAS/TARJETA DE ADQUISICION DE DATOS/TARJETA MARCA ALTERA DES SERIE S0297WF080300030202,0.338,baja,EQUIPO ELECTRONICO
EQ-0736,PROYECTOR MULTIMEDIA DE DISTANCIA ULTRA CORTA CON SOPORTE DE PARED MARCA OPTOMA MODELO W330UST SERIEQ7C6948WAAAAB0134,1,EQUIPO ELECTRONICO,EQ-0243,EQUIPO ELECTRONICO/FUENTE DE PODER/FUENTE DE PODER SIN MARCA SIN MODELO CON N DE SERIE 019667,0.336,baja,EQUIPO ELECTRONICO
EQ-0737,PROYECTOR MULTIMEDIA DE DISTANCIA ULTRA CORTA CON SOPORTE DE PARED MARCA OPTOMA MODELO W330UST SERIEQ7C6948WAAAAB0042,1,EQUIPO ELECTRONICO,EQ-0293,EQUIPO ELECTRONICO/TARJETAS/TARJETA DE ADQUISICION DE DATOS/TARJETA MARCA ALTERA DES SERIE S0297WF080300030054,0.333,baja,EQUIPO ELECTRONICO
EQ-0740,LAPTOP CON PROCESADOR CORE I7 1.8 GHZ MEMORIA 8GB DISCO SSD 512GB PANTALLA 14 INCLUYE MOCHILA MOUSE CANDADO ADAPTADOR HDMI A VGA,1,EQUIPO ELECTRONICO,EQ-0228,EQUIPO ELECTRONICO/CPU/CPU CON PROCESADOR INTEL CORE I3 DE 3 1GHZ 2 GB DE MEMORIA RAM DISCO DURO DE 500GB CON UNIDAD DE DVD WRITER 5,0.359,baja,EQUIPO ELECTRONICO
EQ-0741,GENERADOR DE OZONO WSTA-MODELO:X002810JH9,1,EQUIPO ELECTRONICO,EQ-0479,MOTOR GENERADOR DE CD N 28-150,0.412,baja,EQUIPO ELECTRONICO
EQ-0742,"REBAJADORA CNC ROUTER(FRESADO, GRABADO) WEGSRT-MODELO:2021-SERIE:163134",1,EQUIPO ELECTRONICO,EQ-0494,GENERADOR DE FUNCIONES CON RANGO DE FRECUENCIA-DE O 2HZ A 2MHZ-MARCA BK PRECISION-MODELO 3011B-SERIE 147-29483,0.339,baja,EQUIPO ELECTRONICO
EQ-0743,EQUIPO SOLDADOR(ESTACIÓN DE SOLDADURA DE COMPONENTES ELECTRÓNICOS)YIHUA-MODELO: 948-II- SERIE: 4YHAI12489.,1,UNIDAD ENCENDIDO ELECTRICO,EQ-0530,UNIDAD ENCENDIDO ELECTRICO/BOLA DE ENCENDIDO ELECTRONICO-MODELO EZK NO 911 644,0.350,baja,UNIDAD ENCENDIDO ELECTRICO
