source_row,asset_code,name,model
63,3188984,OSCILADORES DE CUARZO,OSCILADORES DE CUARZO DL2155OSX
64,3188991,EQUIPOS DE PRENSA; RADIO Y TELEVISION/RADIOS/RADIO TRANSMISOR - RECEPTOR/RECEPTOR FM ESTEREO,RECEPTOR FM ESTEREO DL2512A
65,3188992,TRANSFORMADOR TRIFASICO,TRANSFORMADOR TRIFASICO DL30100
66,3188993,TRANSFORMADOR MONOFASICO,TRANSFORMADOR MONOFASICO DL30103
67,3188994,TRANSFORMADOR MONOFASICO,TRANSFORMADOR MONOFASICO DL30103
68,3188995,TRANSFORMADOR MONOFASICO,TRANSFORMADOR MONOFASICO DL30103
69,3188996,ALIMENTADOR PARA FRENOS,ALIMENTADOR PARA FRENOS DL1054
70,3188997,ALIMENTADOR MOVIL,ALIMENTADOR MOVIL DL1059
71,3188998,ALIMENTADOR MOVIL,ALIMENTADOR MOVIL DL1059
72,3188999,MOTOR CC,MOTOR CC DL30200
73,3189000,MOTOR DE VELOCIDADES,MOTOR DE VELOCIDADES DL2051
74,3189001,MOTOR DE VELOCIDADES,MOTOR DE VELOCIDADES DL2051
75,3189002,FRENO ELECTROMAGNETICO,FRENO ELECTROMAGNETICO DL 2006UM
76,3189003,ACCIONAMIENTO DIDACTICO 1 KW DE PUENTE MONOFASICO TOTALMENTE CONTROLADO,ACCIONAMIENTO DIDACTICO 1 KW DE PUENTE MONOFASICO TOTALMENTE CONTROLADO DL2308A
77,3189008,OSCILADORES EN ALTA FRECUENCIA,OSCILADORES EN ALTA FRECUENCIA DL2155OSA
78,3189009,ALTERNADOR MOTOR ASINCRONO,ALTERNADOR MOTOR ASINCRONO DL2066A
79,3189010,MOTOR DE ANILLOS,MOTOR DE ANILLOS DL2053A
80,3189013,CONTROL DE VELOCIDAD DE LOS MOTORES C.A.,CONTROL DE VELOCIDAD DE LOS MOTORES C.A. DL2309A1
81,3189014,FRENO CON CORRIENTE PARÀSITAS,FRENO CON CORRIENTE PARÀSITAS DL30300
82,3189015,VOLANTE,VOLANTE DL10410
83,3189016,BASAMENTO UNIVERSAL,BASAMENTO UNIVERSAL DL10400
84,3189018,MOTOR ASINCRONO TRIFASICO A JAULA,MOTOR ASINCRONO TRIFASICO A JAULA DL30115
85,3189019,MANUFACTURA CON PC INTEGRADO-VICION C,MANUFACTURA CON PC INTEGRADO-VICION C DL CIM C
86,3189020,ACCIONAMIENTO PUENTE MONOFASICO Y SEMICONTROLADO,ACCIONAMIENTO PUENTE MONOFASICO Y SEMICONTROLADO DL3315
87,3189022,BASAMENTO UNIVERSAL,BASAMENTO UNIVERSALDL1013B
88,3189023,MODULO DE ALIMENTACION EN CC,MODULO DE ALIMENTACION EN CC DL2555ALE
89,3189024,MODULO DE ALIMENTACION EN CC,MODULO DE ALIMENTACION EN CC DL 2555ALE
90,4916562,MULTIMETRO DIGITAL SERIE:124450151 MARCA:METREL MODELO:MD 9060,MD 9060
91,4916563,MULTIMETRO DIGITAL SERIE:124450149 MARCA:METREL MODELO:MD 9060,MD 9060
92,4916564,MULTIMETRO DIGITAL SERIE:124450156 MARCA:METREL MODELO:MD 9060,MD 9060
93,4916565,MULTIMETRO DIGITAL SERIE:124450160 MARCA:METREL MODELO:MD 9060,MD 9060
94,4916566,MULTIMETRO DIGITAL SERIE:124450158 MARCA:METREL MODELO:MD 9060,MD 9060
95,4916567,MULTIMETRO DIGITAL SERIE:124450196 MARCA:METREL MODELO:MD 9060,MD 9060
96,4916568,PROBADOR DE AISLAMENTO DE 10KV SERIE:14080879 MARCA:METREL SI MODELO:MI 3210,MI 3210
97,4916569,CAMARA TERMOGRAFICA SERIE:B130068Y MARCA:GUIDE INFRARED MODELO:BRITIR B1,BRITIR B1
98,4916570,KIT COMPROBADOR AVANZADO DE RESISTENCIA DE TIERRA GEO SERIE:152905NADV MARCA:AEMC MODELO:6472 KIT 300FT,6472 KIT 300FT
99,4916571,ANENOMETRO SERIE:14100250 MARCA:METREL MODELO:MI6401,MI6401
100,4916572,MAQUINARIA Y EQUIPO PARA LA CONSTRUCCION; INDUSTRIA Y MINERIA/PINZA AMPERIMETRICA/PINZA AMPERIMETRICA SERIE:145353MGDV MARCA:AEMC MODELO:SR 182 ADICIONAL UNA PINZA AMPERIMETRICA SERIE:145348MGDV,SR 182
101,4916573,MULTIMETRO DIGITAL SERIE:27690162WS MARCA: FLUKE MODELO:381,381
102,4916574,ANALIZADOR TRIFASICO Y DE CALIDAD DE LA ENERGIA ELECTRICA SERIE:29583135 MARCA:FLUKE MODELO 435 SERIES II,435 SERIES II
103,4916575,ANALIZADOR TRIFASICO Y DE CALIDAD DE LA ENERGIA ELECTRICA SERIE:29593108 MARCA:FLUKE MODELO 435 SERIES II,435 SERIES II
104,4916576,OSCILOSCOPIO SERIE:122443LDDV MARCA:AEMC MODELO:OX5042,OX5042
105,4916577,OSCILOSCOPIO SERIE:122444LDDV MARCA:AEMC MODELO:OX5042,OX5042
106,4939590,"FUENTE DE PODER MARCA QUAD POWER, MODELO XP-581, SERIE 277339",XP-581
107,5840967,"VOLTAMPERIMETRO TRIFASICO MARCA ETCR, MODELO ETCR 4700 AUTO THREE PHASE DIGITAL PHASE VA METER SERIE 47150019",ETCR 4700 AUTO THREE PHASE DIGITAL PHASE VA METER
108,5840968,"VOLTAMPERIMETRO TRIFASICO MARCA ETCR, MODELO ETCR 4700 AUTO THREE PHASE DIGITAL PHASE VA METER, SERIE 47150018",ETCR 4700 AUTO THREE PHASE DIGITAL PHASE VA METER
109,5840969,"VOLTAMPERIMETRO TRIFASICO MARCA ETCR, MODELO ETCR 4700 AUTO THREE PHASE DIGITAL PHASE VA METER, SERIE 47150017",ETCR 4700 AUTO THREE PHASE DIGITAL PHASE VA METER
110,5840970,"VOLTAMPERIMETRO TRIFASICO MARCA ETCR, MODELO ETCR 4700 AUTO THREE PHASE DIGITAL PHASE VA METER, SERIE 47150016",ETCR 4700 AUTO THREE PHASE DIGITAL PHASE VA METER
111,5840971,"VOLTAMPERIMETRO TRIFASICO MARCA ETCR, MODELO ETCR 4700 AUTO THREE PHASE DIGITAL PHASE VA METER, SERIE 47150015",ETCR 4700 AUTO THREE PHASE DIGITAL PHASE VA METER
112,5840973,"VOLTAMPERIMETRO MONOFASICO MARCA ETCR, MODELO ETCR 4200A AUTO DOUBLE CLAMP DIGITAL PHASE VA METER, SERIE 42240006",ETCR 4200A AUTO DOUBLE CLAMP DIGITAL PHASE VA METER
113,5840974,"VOLTAMPERIMETRO MONOFASICO MARCA ETCR, MODELO ETCR 4200A AUTO DOUBLE CLAMP DIGITAL PHASE VA METER, SERIE 42240005",ETCR 4200A AUTO DOUBLE CLAMP DIGITAL PHASE VA METER
114,5840975,"VOLTAMPERIMETRO MONOFASICO MARCA ETCR, MODELO ETCR 4200A AUTO DOUBLE CLAMP DIGITAL PHASE VA METER, SERIE 42240004",ETCR 4200A AUTO DOUBLE CLAMP DIGITAL PHASE VA METER
115,5840976,"VOLTAMPERIMETRO MONOFASICO MARCA ETCR, MODELO ETCR 4200A AUTO DOUBLE CLAMP DIGITAL PHASE VA METER, SERIE 42240002",ETCR 4200A AUTO DOUBLE CLAMP DIGITAL PHASE VA METER
116,5840977,"VOLTAMPERIMETRO MONOFASICO MARCA ETCR, MODELO ETCR 4200A AUTO DOUBLE CLAMP DIGITAL PHASE VA METER, SERIE 42240001",ETCR 4200A AUTO DOUBLE CLAMP DIGITAL PHASE VA METER
117,8782681,VOLTIMETRO DIGITAL PARA PICOS SERIE:331 MODELO:HV9150 MARCA:TERCO,HV9150
118,8782682,OSILOSCOPIO DIGITAL 100MHZ SERIE:SN 023506912 MODELO:HMO 1202 SERIES MARCA:ROHDE&SCHWARZ,HMO 1202
119,8782683,OSILOSCOPIO DIGITAL 100MHZ SERIE:SN 023506908 MODELO:HMO 1202 SERIES MARCA:ROHDE&SCHWARZ,HMO 1202
120,8782684,OSILOSCOPIO DIGITAL 100MHZ SERIE:SN 023506911 MODELO:HMO 1202 SERIES MARCA:ROHDE&SCHWARZ,HMO 1202
121,8782685,OSILOSCOPIO DIGITAL 100MHZ SERIE:SN 023506909 MODELO:HMO 1202 SERIES MARCA:ROHDE&SCHWARZ,HMO 1202
122,8782686,OSILOSCOPIO DIGITAL 100MHZ SERIE:SN 023506910 MODELO:HMO 1202 SERIES MARCA:ROHDE&SCHWARZ,HMO 1202
123,8782687,OSILOSCOPIO DIGITAL 100MHZ SERIE:SN 023506907 MODELO:HMO 1202 SERIES MARCA:ROHDE&SCHWARZ,HMO 1202
124,8782688,GENERADOR DE FUNCIONES ARBITRARIAS 25MHZ SERIE:SN 024060782 MODELO:HMF2525 MARCA:ROHDE&SCHWARZ,HMF2525
125,8782689,GENERADOR DE FUNCIONES ARBITRARIAS 25MHZ SERIE:SN 024060783 MODELO:HMF2525 MARCA:ROHDE&SCHWARZ,HMF2525
126,8782690,GENERADOR DE FUNCIONES ARBITRARIAS 25MHZ SERIE:SN 024060784 MODELO:HMF2525 MARCA:ROHDE&SCHWARZ,HMF2525
127,8782691,SINTETIZADOR DE RADIO FRECUENCIA 1HZ-1.2GHZ SERIE:SN 023768642 MODELO:HM8134 -3X MARCA:ROHDE&SCHWARZ,HM8134 -3X
128,8782692,SINTETIZADOR DE RADIO FRECUENCIA 1HZ-1.2GHZ SERIE:SN 023051190 MODELO:HM8134 -3X MARCA:ROHDE&SCHWARZ,HM8134 -3X
129,8782693,UNIDAD BASE GENERADORA DE SEÑALES SMC100A SERIE:105969 MODELO:SMC100A MARCA:ROHDE&SCHWARZ,SMC100A
130,8782694,GENERADOR DE SEÑALES SMB100A SERIE:110757-Ky MODELO:SMB100A MARCA:ROHDE&SCHWARZ,SMB100A
131,10963865,CILINDRO DE NITROGENO 6M3,
132,11048093,EXTINTOR DE 20 LBS POLVO QUIMICO SECO,
133,19291340,"COMPRESOR 2 HP, 25LTS/115PSI/110V MARCA BP, MODELO CB-25D, SERIE 2017060429",CB-25D
134,19766637,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
135,19766638,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
136,19766639,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
137,19766640,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
138,19766641,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
139,19766642,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
140,19766644,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
141,19766645,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
142,19766646,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
143,19766647,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
144,19766648,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
145,19766649,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
146,19766650,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
147,19766651,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
148,19766652,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
149,19766653,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
150,19766654,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
151,19766655,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
152,19766656,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
153,19766657,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M
154,19766685,MESA INTELIGENTE CON SET SOCKETS DE CONSOLA DE ADMINISTRACION DE EQUIPOS DE COMUNICACIONES DIMENSIONES 2.10M X 60CM X 75CM,S/M
155,19766686,MESA INTELIGENTE CON SET SOCKETS DE CONSOLA DE ADMINISTRACION DE EQUIPOS DE COMUNICACIONES DIMENSIONES 2.10M X 60CM X 75CM,S/M
156,19766687,MESA INTELIGENTE CON SET SOCKETS DE CONSOLA DE ADMINISTRACION DE EQUIPOS DE COMUNICACIONES DIMENSIONES 2.10M X 60CM X 75CM,S/M
157,19766688,MESA INTELIGENTE CON SET SOCKETS DE CONSOLA DE ADMINISTRACION DE EQUIPOS DE COMUNICACIONES DIMENSIONES 2.10M X 60CM X 75CM,S/M
158,19766689,MESA INTELIGENTE CON SET SOCKETS DE CONSOLA DE ADMINISTRACION DE EQUIPOS DE COMUNICACIONES DIMENSIONES 2.10M X 60CM X 75CM,S/M
159,19766690,MESA INTELIGENTE CON SET SOCKETS DE CONSOLA DE ADMINISTRACION DE EQUIPOS DE COMUNICACIONES DIMENSIONES 2.10M X 60CM X 75CM,S/M
160,19766691,MESA INTELIGENTE CON SET SOCKETS DE CONSOLA DE ADMINISTRACION DE EQUIPOS DE COMUNICACIONES DIMENSIONES 2.10M X 60CM X 75CM,S/M
161,22359616,"ANALIZADOR DE BATERIA MARCA FLUKE, MODELO BT521, SERIE 40930127WS",BT521
162,22604048,"MEDIDOR DE AISLAMIENTO MEGOHMETRO MARCA AEMC INSTRUMENTS, MODELO 6550 10KV, SERIE NO. 193870QKDV",6550 10KV
163,23560722,"MEDIDOR DE RESISTENCIA DE CONTACTOS (MICRO-OHMIMETRO) MARCA AEMC, MODELO 6292, SERIE NO. 100047QLTH",6292
164,23762242,"ANALIZADOR VECTORIAL DE REDES 400MHZ TO 6GHZ 2/3 MARCA MEGIQ, MODELO VNA0460E, SERIE NO. 00002641. INCLUYE KIT DE CALIBRACION",VNA0460E
165,23762243,"TARJETA DE ENSEÑANZA MARCA MEGIQ, MODELO VNA SANDBOX, SERIE NO. E1005565",VNA SANDBOX
166,24546597,FUENTE DE PODER REGULABLE MODELO 305D,305D
167,24546598,"FUENTE DE PODER REGULABLE MARCA LONG WEI, MODELO PS-305DM, SERIE 170803800",PS-305DM
168,24546599,"FUENTE DE PODER REGULABLE MARCA LONG WEI, MODELO PS-305DM, SERIE 170804264",PS-305DM
169,24546600,"FUENTE DE PODER REGULABLE MARCA LONG WEI, MODELO PS-305DM, SERIE 170804173",PS-305DM
170,24546601,"OSCILOSCOPIO PORTATIL MACA AIIOSUN, MODELO EM125, SERIE 16257221",EM125
171,24546602,"FUENTE DE PODER REGULABLE MARCA HYELEC, MODELO HY3003, SERIE 310670",HY3003
172,24546603,"FUENTE DE PODER REGULABLE MARCA HYELEC, MODELO HY3003, SERIE 310661",HY3003
173,24546604,"FUENTE DE PODER REGULABLE MARCA HYELEC, MODELO HY3003, SERIE 310655",HY3003
174,24546605,"FUENTE DE PODER REGULABLE MARCA HYELEC, MODELO HY3003, SERIE 310665",HY3003
175,24546606,"FUENTE DE PODER REGULABLE MARCA HYELEC, MODELO HY3003, SERIE 310669",HY3003
176,24558480,"FUENTE DE VOLTAJE MARCA MIYAKO USA, MODELO DVP212S",DVP212S
177,24558481,"FUENTE DE VOLTAJE MARCA MIYAKO USA, MODELO DVP212S",DVP212S
178,24558482,"FUENTE DE VOLTAJE MARCA MIYAKO USA, MODELO DVP212S",DVP212S
179,24558483,"FUENTE DE VOLTAJE MARCA MIYAKO USA, MODELO DVP212S",DVP212S
180,24558484,"FUENTE DE VOLTAJE MARCA MIYAKO USA, MODELO DVP212S",DVP212S
181,24558485,"FUENTE DE VOLTAJE MARCA MIYAKO USA, MODELO DVP212S",DVP212S
182,24558486,GENERADOR DE FUNCIONES MODELO ICL8038,ICL8038
183,24558487,GENERADOR DE FUNCIONES MODELO ICL8038,ICL8038
184,24558488,GENERADOR DE FUNCIONES MODELO ICL8038,ICL8038
185,24558489,GENERADOR DE FUNCIONES MODELO ICL8038,ICL8038
186,24558490,GENERADOR DE FUNCIONES MODELO ICL8038,ICL8038
187,24558491,GENERADOR DE FUNCIONES MODELO ICL8038,ICL8038
188,24558492,GENERADOR DE FUNCIONES MODELO ICL8038,ICL8038
189,25213541,"EQUIPO CONTROLADOR MARCA BRAIN CHILD, MODELO BTC-9300, SERIE NO. 200256",BTC-9300
190,25213542,"EQUIPO CONTROLADOR MARCA BRAIN CHILD, MODELO BTC-9300, SERIE NO. 113523",BTC-9300
191,25315022,"MULTIMETRO DIGITAL MARCA PROSKIT, MODELO MT-5211, SERIE NO. 091261400",MT-5211
192,25315023,"MULTIMETRO DIGITAL MARCA PROSKIT, MODELO MT-5211, SERIE NO. 091261421",MT-5211
193,25315024,"MULTIMETRO DIGITAL MARCA PROSKIT, MODELO MT-5211, SERIE NO. 091261415",MT-5211
